Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
139,Harrison Barnes (GSW),81,6.4,14.6,43.90%,1.2,3.4,35.90%,3.4,4.4,75.80%,1.2,6.5,7.8,2.3,1.2,0.3,2.4,3.3,17.4,17.4
140,Alexey Shved (MIN),77,6.2,16.6,37.20%,2.2,7.5,29.50%,2.8,3.9,72.00%,1.1,3.5,4.6,7.5,1.4,0.7,3.8,3,17.3,16.1
141,DeAndre Jordan (LAC),82,7.5,11.7,64.30%,0,0,0.00%,2.3,5.9,38.60%,5,9.2,14.2,0.7,1.1,2.7,2.4,4.6,17.3,25.8
142,Larry Sanders (MIL),71,7.6,15,50.60%,0,0,0.00%,2.1,3.4,61.80%,5.6,11.1,16.7,2.1,1.3,5,2.2,5.8,17.2,31.4
143,Kyle Korver (ATL),74,5.9,12.8,46.10%,4,8.8,45.70%,1.4,1.7,85.90%,0.5,5.7,6.2,3.1,1.5,0.8,1.5,3.6,17.2,20.2
144,CJ Watson (BKN),80,6.1,14.5,41.80%,2.8,6.8,41.10%,2.2,2.9,78.00%,1.2,3.4,4.6,5.1,2.1,0.4,2.2,3.9,17.1,18
145,Kosta Koufos (DEN),81,7.8,13.4,58.10%,0,0,0.00%,1.5,2.7,55.80%,5.6,9.3,14.8,0.8,1.2,2.7,1.4,6.5,17.1,28.5
146,Amir Johnson (TOR),81,6.9,12.5,55.40%,0.1,0.3,38.50%,2.8,3.9,72.70%,4.7,7.9,12.6,2.5,1.7,2.3,2.4,6.2,16.8,26.8
147,E'Twaun Moore (ORL),75,6.8,17.1,39.60%,1.9,5.6,34.00%,1.3,1.7,79.70%,1.4,3.4,4.8,5.9,1.5,0.7,3,3.5,16.8,15.9
148,Michael Kidd-Gilchrist (CHA),78,6.7,14.5,45.80%,0,0.2,22.20%,3.3,4.4,74.90%,3.1,7.7,10.8,2.8,1.3,1.7,2.4,3.9,16.7,21.8
149,Dante Cunningham (MIN),80,7.5,16,46.80%,0,0.1,0.00%,1.6,2.5,65.00%,3.4,6.4,9.7,1.6,2,0.9,1.3,3.6,16.6,20.1
150,Elton Brand (DAL),72,7.1,15,47.30%,0,0,0.00%,2.1,2.9,71.00%,4.1,9.4,13.5,2.2,1.6,2.8,1.8,6,16.3,25.8
151,Omer Asik (HOU),82,6.5,12,54.10%,0,0,0.00%,3.3,5.8,56.20%,5.4,13.3,18.6,1.5,0.9,1.7,3.4,4.3,16.2,27.5
152,Tony Allen (MEM),79,6.5,14.5,44.50%,0.1,0.5,12.50%,3,4.3,71.70%,2.8,5.5,8.3,2.2,2.7,1,2.1,4.8,16,18.8
153,Alonzo Gee (CLE),82,5.8,14.1,41.00%,1.3,4.1,31.50%,3.1,3.9,79.50%,1.4,4.6,6,2.5,2,0.6,2.5,3.8,15.9,15.5
154,Jimmy Butler (CHI),82,5.4,11.5,46.70%,0.9,2.4,38.10%,4.2,5.2,80.30%,3.1,4.3,7.4,2.6,1.8,0.7,1.4,2.2,15.9,19.7
155,Will Barton (POR),73,6.3,16.6,38.20%,0.5,3.5,13.80%,2.7,3.5,76.90%,1.9,5.9,7.8,3.1,1.8,0.5,3.2,3,15.8,14.8
156,Steve Novak (NYK),81,5.2,12.6,41.40%,4.4,10.3,42.50%,0.9,1,90.90%,0.5,3.9,4.4,1,0.8,0.2,0.3,2.8,15.6,14.4
157,Tayshaun Prince (MEM),82,6.5,15,43.80%,0.7,1.7,40.40%,1.8,2.4,73.80%,1.3,5.3,6.6,3.6,0.9,0.5,1.6,1.6,15.5,16.4
158,Joakim Noah (CHI),66,6,12.5,48.10%,0,0.1,0.00%,3.5,4.7,75.10%,5.1,9.4,14.5,5.2,1.5,2.8,3.5,3.7,15.5,28.4
159,Mario Chalmers (MIA),77,5.3,12.3,42.90%,2.9,7,40.90%,2.1,2.6,79.50%,0.4,3.5,4,6.3,2.7,0.3,2.8,4.5,15.5,18.5
160,Tyson Chandler (NYK),66,5.7,8.9,63.70%,0,0,0.00%,4,5.7,69.40%,6,9.6,15.6,1.4,0.9,1.7,1.9,4.2,15.3,27.9
161,Maurice Harkless (ORL),76,6.3,13.7,46.10%,0.8,2.8,27.40%,1.8,3.1,57.00%,3,5.2,8.1,1.2,2.1,1.5,1.7,3.5,15.2,17.8
162,Thomas Robinson (HOU),70,6.3,14.6,43.00%,0,0,0.00%,2.6,5,52.30%,5.5,8.8,14.3,2.1,1.9,1.2,4,5.6,15.1,19.9
163,Courtney Lee (BOS),78,6.1,13.1,46.40%,1.4,3.9,37.20%,1.5,1.8,86.10%,0.8,3.9,4.7,3.5,2.2,0.5,2.1,3.4,15.1,16.7
164,Kyle Singler (DET),82,5.8,13.4,42.80%,1.5,4.2,35.00%,2.1,2.6,80.60%,2.3,4.6,6.9,1.6,1.2,0.8,2,4.5,15.1,15.3
165,Jeff Taylor (CHA),77,5.5,12.7,43.10%,1.7,4.9,34.40%,2.4,3.3,72.80%,1.6,3.2,4.8,2,1.5,0.5,1.5,4.3,15,14.1
166,Brandon Bass (BOS),81,6.1,12.6,48.60%,0,0,0.00%,2.8,3.2,86.00%,2.8,6.3,9.1,1.8,0.9,1.4,1.7,4,15,19.6
167,Marvin Williams (UTA),73,5.5,13.1,42.30%,1.5,4.6,32.50%,2.1,2.8,77.80%,1.5,5.8,7.3,2.1,1,1.1,1.7,2.7,14.7,16.4
168,Ian Mahinmi (IND),80,5.4,11.9,45.30%,0,0.1,0.00%,3.8,6.2,60.80%,4.2,7.1,11.3,1,1.4,2.4,3.3,7.3,14.6,18.4
169,Lance Stephenson (IND),78,5.8,12.6,46.00%,1.3,4,33.00%,1.6,2.4,65.20%,1,5.4,6.4,4.7,1.7,0.3,2.3,3.4,14.5,17.7
170,Tyler Zeller (CLE),77,5.8,13.2,43.80%,0,0.1,0.00%,2.8,3.7,76.40%,3.8,6.6,10.3,2.3,0.8,1.6,2.2,5.9,14.4,19
171,Nando De Colo (SAS),72,5.5,12.6,43.60%,1.6,4.3,37.80%,1.8,2.3,79.50%,1.2,6,7.2,7.2,2.1,0.3,4.2,4.5,14.4,19.5
172,John Salmons (SAC),76,5.1,12.9,39.90%,2.1,5.6,37.10%,1.8,2.3,77.30%,0.7,3.7,4.4,4.8,1.1,0.5,1.8,3,14.2,14.8
173,D.J. Augustin (IND),76,4,11.5,35.00%,2.6,7.4,35.30%,3.2,3.9,83.80%,0.8,2.8,3.6,6.7,1.3,0.1,2.7,2.5,13.9,14.8
174,Jae Crowder (DAL),78,5,13,38.40%,2.2,6.8,32.80%,1.7,2.6,64.40%,1.2,5.4,6.6,3.3,2.2,0.6,1.7,4.5,13.9,16
175,Norris Cole (MIA),80,5.4,12.8,42.10%,1.1,3,35.70%,1.6,2.4,65.00%,0.5,3.4,3.9,5,1.7,0.2,3.1,4.7,13.4,12.8
176,Jason Maxiell (DET),72,5.5,12.3,44.60%,0,0,0.00%,2.4,3.9,62.10%,3.6,7.4,11,1.4,0.9,2.5,2.2,4.6,13.4,18.8
177,Thabo Sefolosha (OKC),81,4.8,10,48.10%,2.3,5.6,41.90%,1.2,1.5,82.60%,1.2,5.6,6.8,2.7,2.2,0.9,1.4,3.8,13.2,19
178,Lavoy Allen (PHI),79,5.9,13.1,45.40%,0,0,0.00%,1.2,1.7,71.70%,4.6,6.8,11.4,2.1,0.7,1.6,1.6,5.2,13.1,19.6
179,Al-Farouq Aminu (NOH),76,5.2,11,47.50%,0.1,0.4,21.10%,2.3,3.2,73.70%,3.2,10.4,13.6,2.4,2.1,1.2,2.7,3.5,12.9,22.9
180,PJ Tucker (PHX),79,5.3,11.2,47.30%,0.6,1.8,31.40%,1.6,2.2,74.40%,3.3,5.5,8.8,2.7,1.6,0.5,1.7,3.6,12.7,18.2
181,Shane Battier (MIA),72,4.1,9.7,42.00%,3.7,8.5,43.00%,0.9,1,84.20%,1,3.4,4.4,1.9,1.1,1.5,0.9,4,12.7,14.9
182,Nick Collison (OKC),81,5.3,9,59.50%,0,0.1,0.00%,1.8,2.4,76.90%,3.7,6.4,10.1,3.7,1.6,0.9,2.1,6,12.5,22.4
183,Dahntay Jones (ATL),78,3.9,10.5,36.90%,0.5,2.3,22.40%,4.1,5.3,77.00%,1.1,3.6,4.8,2.3,1,0.3,1.8,5.6,12.4,11.1
184,Gerald Wallace (BKN),69,4.2,10.6,39.70%,1.1,3.8,28.20%,2.8,4.4,63.70%,1.6,5.8,7.4,4.2,2.2,1.1,2.5,2.7,12.3,16.6
185,Boris Diaw (SAS),75,5,9.3,53.90%,0.8,2.2,38.50%,1.3,1.8,72.30%,1.9,5.3,7.1,5.1,1.5,0.8,2.4,4,12.2,19.5
186,Greg Stiemsma (MIN),76,5,11,45.70%,0,0,0.00%,2.1,2.7,76.80%,2.4,7.9,10.4,1.2,1.8,3.6,2.3,7.3,12.2,20.1
187,Ekpe Udoh (MIL),76,4.3,9.8,43.50%,0,0,0.00%,3.3,4.4,74.80%,4.1,5,9.2,1.6,1.4,3.1,1.6,5.1,11.8,18.9
188,Jason Kidd (NYK),76,3.6,9.6,37.20%,2.7,7.6,35.10%,0.9,1.1,83.30%,1.2,6.4,7.6,5.9,2.9,0.6,1.8,2.9,10.8,19.7
189,Keith Bogans (BKN),74,3.7,9.7,38.00%,2.9,8.4,34.30%,0.4,0.6,64.70%,0.5,3.5,4.1,2.6,0.9,0.1,1.7,3.7,10.6,10.5
190,Pablo Prigioni (NYK),78,3.8,8.4,45.50%,2,5.1,39.60%,0.8,1,88.00%,1.6,3.9,5.4,9,2.6,0.1,3.3,4.8,10.5,19.6
191,Draymond Green (GSW),79,3.8,11.6,32.70%,0.6,3,20.90%,2,2.5,81.80%,2.6,9.1,11.8,2.4,1.9,1.1,2.3,7.2,10.3,16.9
192,Udonis Haslem (MIA),75,4.4,8.5,51.40%,0,0,0.00%,1.1,1.5,71.10%,3.3,10.4,13.7,1.3,1,0.5,1.5,5.9,9.8,20.3
193,Lamar Odom (LAC),82,4.3,10.9,39.90%,0.5,2.7,20.00%,0.6,1.2,47.60%,3.5,10.8,14.3,4.2,2,1.7,2.5,6.4,9.8,22.3
194,Reggie Evans (BKN),80,3.1,6.4,47.90%,0,0,0.00%,2.8,5.4,50.90%,6.3,15.3,21.7,1,1.8,0.3,2.7,4.9,8.9,25
195,Bismack Biyombo (CHA),80,3.4,7.6,45.10%,0,0,0.00%,1.6,3.1,52.10%,4.3,8.5,12.8,0.8,0.6,3.1,1.8,4.3,8.5,18.3
196,Festus Ezeli (GSW),78,3.2,7.2,43.80%,0,0,0.00%,1.8,3.5,53.10%,6,7.4,13.4,0.9,1,3.2,2.7,6.7,8.2,18.3
197,Kendrick Perkins (OKC),78,3.5,7.7,45.70%,0,0,0.00%,1.1,1.8,61.10%,2.7,8.7,11.4,2.7,1.1,2,2.7,5.6,8.1,17.8
198,Charles Hayes (SAC),74,3.3,7.5,44.20%,0,0,0.00%,1.2,1.9,62.50%,4.5,7.4,11.9,4.4,1.2,0.7,1.8,4.5,7.9,19.5
