Rank,Player,GP,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF
34,Kevin Martin (OKC),77,7.9,17.5,45.00%,3.6,8.3,42.60%,4.9,5.5,89.00%,0.7,3.3,4,2.4,1.6,0.2,2.3,3.1,24.2,19.9
35,Carlos Boozer (CHI),79,10.3,21.5,47.70%,0,0,0.00%,3.6,5,73.10%,3.3,11.2,14.5,3.4,1.2,0.5,3.3,4.5,24.2,27.9
36,Chris Bosh (MIA),74,9.5,17.7,53.50%,0.4,1.4,28.40%,4.7,5.9,79.80%,2.6,7.2,9.8,2.4,1.3,2,2.5,3.3,24.1,27.6
37,David Lee (GSW),79,9.9,19.2,51.90%,0,0.1,0.00%,4.2,5.3,79.70%,3.6,11,14.6,4.6,1.1,0.4,3.4,4.1,24.1,31.1
38,JaVale McGee (DEN),79,10.1,17.7,57.50%,0,0,100.00%,3.7,6.2,59.10%,5.3,7.5,12.8,0.8,1,5.3,3,6.2,24,30.8
39,Danilo Gallinari (DEN),71,7.6,18.1,41.80%,2.8,7.5,37.30%,5.9,7.2,82.20%,1.4,6.3,7.6,3.7,1.3,0.8,2.3,2.7,23.9,23.1
40,Kevin Garnett (BOS),68,10,20.2,49.60%,0,0.4,12.50%,3.8,4.8,78.60%,1.8,10.8,12.6,3.8,1.9,1.5,2.6,3.7,23.8,29.7
41,Gerald Henderson (CHA),68,8.6,19.2,44.70%,0.7,2.3,33.00%,5.8,7,82.40%,1.2,4.4,5.6,4,1.5,0.8,2.4,3.4,23.7,21.3
42,Josh Smith (ATL),76,9.8,21.1,46.50%,1.1,3.6,30.30%,3,5.7,51.70%,2.4,9.1,11.4,5.7,1.7,2.4,4,3.1,23.7,26.9
43,Corey Brewer (DEN),82,9,21.2,42.50%,2.2,7.4,29.60%,3.6,5.2,69.00%,1.3,4.3,5.6,3,2.8,0.6,2.4,3.7,23.7,19.5
44,Damian Lillard (POR),82,8.4,19.5,42.90%,2.8,7.6,36.80%,4.1,4.9,84.40%,0.6,3.3,3.9,8,1.1,0.3,3.7,2.6,23.7,21.4
45,DeMar DeRozan (TOR),82,8.7,19.6,44.50%,0.5,1.9,28.30%,5.7,6.8,83.10%,0.8,4.3,5.1,3.2,1.2,0.4,2.4,2.8,23.7,19.2
