Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
70,Marcus Thornton (SAC),72,24,4.6,10.8,42.90%,2,5.3,37.20%,1.5,1.8,88.10%,0.7,1.8,2.5,1.3,0.8,0.1,0.9,12.7,10.1
71,Metta World Peace (LAL),75,33.7,4.4,11,40.30%,1.9,5.5,34.20%,1.7,2.3,73.40%,1.3,3.6,5,1.5,1.6,0.6,1.3,12.4,12.6
72,Corey Brewer (DEN),82,24.4,4.6,10.8,42.50%,1.1,3.7,29.60%,1.8,2.6,69.00%,0.7,2.2,2.9,1.5,1.4,0.3,1.2,12.1,9.9
73,Darren Collison (DAL),81,29.3,4.2,8.9,47.10%,0.6,1.7,35.30%,3,3.4,88.00%,0.4,2.3,2.7,5.1,1.2,0.1,2.1,12,13.9
74,Derrick Williams (MIN),78,24.6,4.3,10.1,43.00%,0.8,2.5,33.20%,2.5,3.5,70.60%,1.2,4.3,5.5,0.6,0.6,0.5,1.3,12,11
75,Roy Hibbert (IND),79,28.7,4.9,10.9,44.80%,0,0.1,25.00%,2.1,2.8,74.10%,3.7,4.6,8.3,1.4,0.5,2.6,2,11.9,15.9
76,Tristan Thompson (CLE),82,31.3,4.8,9.7,48.80%,0,0,0.00%,2.2,3.5,60.80%,3.7,5.7,9.4,1.3,0.7,0.9,1.5,11.7,16.1
77,Jordan Crawford (BOS),70,24.4,4.3,10.4,41.50%,1.2,3.5,33.70%,1.8,2.3,81.10%,0.6,2.4,3,3.2,0.6,0.1,2,11.6,10
78,Kenneth Faried (DEN),80,28.1,4.8,8.6,55.20%,0,0,0.00%,2,3.3,61.30%,3.3,5.9,9.2,1,1,1,1.4,11.5,17.2
79,Rodney Stuckey (DET),76,28.6,4,9.8,40.60%,0.7,2.4,30.20%,2.8,3.6,78.30%,0.6,2.2,2.8,3.6,0.7,0.2,1.8,11.5,10.4
80,Luke Ridnour (MIN),82,30.2,4.5,9.9,45.30%,0.8,2.6,31.10%,1.7,2,84.80%,0.5,2,2.5,3.8,1,0.2,1.6,11.5,11.6
81,Martell Webster (WAS),76,28.9,3.7,8.4,44.20%,1.8,4.3,42.20%,2.2,2.6,84.80%,0.7,3.2,3.9,1.9,0.6,0.2,1.2,11.4,11.8
82,Robin Lopez (NOH),82,26,4.7,8.8,53.40%,0,0,0.00%,2,2.5,77.80%,2.8,2.9,5.6,0.8,0.4,1.6,1.3,11.3,13.7
83,Jose Calderon (DET),73,29.6,4.3,8.7,49.10%,1.8,3.9,46.10%,1,1.1,90.00%,0.3,2.1,2.4,7.1,0.8,0.1,1.7,11.3,15.5
84,Jose Juan Barea (MIN),74,23.1,4.3,10.2,41.70%,1.3,3.8,34.60%,1.4,1.8,78.40%,0.5,2.3,2.8,4,0.4,0,2,11.3,10.1
85,Ben Gordon (CHA),75,20.8,4.1,10.1,40.80%,1.5,3.9,38.70%,1.4,1.7,84.30%,0.2,1.5,1.7,1.9,0.5,0.2,1.8,11.2,7.4
86,Spencer Hawes (PHI),82,27.2,4.6,9.9,46.40%,0.4,1.1,35.60%,1.5,1.9,77.70%,2.1,5.1,7.2,2.2,0.3,1.4,1.6,11,14.8
87,Kyle Korver (ATL),74,30.5,3.7,8.1,46.10%,2.6,5.6,45.70%,0.9,1.1,85.90%,0.3,3.6,4,2,0.9,0.5,0.9,10.9,12.9
88,Ray Allen (MIA),79,25.8,3.7,8.2,44.90%,1.8,4.2,41.90%,1.8,2,88.60%,0.5,2.2,2.7,1.7,0.8,0.2,1.3,10.9,10.3
89,Jared Dudley (PHX),79,27.5,4,8.5,46.80%,1.3,3.4,39.10%,1.6,2.1,79.60%,1,2.1,3.1,2.6,0.9,0.1,1.3,10.9,11.4
90,Jason Thompson (SAC),82,27.9,4.6,9.1,50.20%,0,0,0.00%,1.7,2.5,69.40%,2.1,4.6,6.7,1,0.6,0.7,1.2,10.9,13.4
91,Carl Landry (GSW),81,23.2,4,7.4,54.00%,0,0,33.30%,2.8,3.4,81.70%,2.2,3.7,6,0.8,0.4,0.4,1.4,10.8,12.9
92,Randy Foye (UTA),82,27.4,3.6,9,39.70%,2.2,5.3,41.00%,1.4,1.8,81.90%,0.2,1.3,1.5,2,0.8,0.3,1.1,10.8,8.6
93,Danny Green (SAS),80,27.5,3.7,8.3,44.80%,2.2,5.2,42.90%,0.8,1,84.80%,0.5,2.6,3,1.8,1.1,0.7,1.2,10.5,11.2
94,Mike Dunleavy (MIL),75,25.9,3.7,8.3,44.20%,1.7,4,42.80%,1.4,1.7,82.00%,0.4,3.5,3.9,1.9,0.5,0.5,1.2,10.5,11.1
95,Caron Butler (LAC),78,24.1,3.9,9.2,42.40%,1.6,4.2,38.80%,1,1.2,83.30%,0.5,2.3,2.9,1,0.7,0.1,0.9,10.4,8.6
96,Tayshaun Prince (MEM),82,32.1,4.4,10,43.80%,0.5,1.1,40.40%,1.2,1.6,73.80%,0.9,3.6,4.4,2.4,0.6,0.3,1.1,10.4,11
97,Patrick Patterson (SAC),71,25,4.5,8.8,51.20%,0.7,1.9,38.60%,0.7,0.9,76.20%,1.6,3.2,4.7,1.1,0.4,0.6,0.9,10.4,11.9
98,Tiago Splitter (SAS),81,24.7,3.9,7,56.00%,0,0,0.00%,2.6,3.5,73.00%,1.8,4.6,6.4,1.6,0.8,0.8,1.2,10.3,14.6
99,Andray Blatche (BKN),82,19,4.2,8.2,51.20%,0,0.3,13.60%,1.8,2.6,68.50%,2,3.1,5.1,1,1.1,0.7,1.5,10.3,11.8
100,Matt Barnes (LAC),80,25.7,3.9,8.4,46.20%,1.4,4.1,34.20%,1.1,1.5,74.40%,1.4,3.2,4.6,1.5,1,0.8,1.1,10.3,12.2
101,Alonzo Gee (CLE),82,31,3.7,9.1,41.00%,0.8,2.7,31.50%,2,2.5,79.50%,0.9,3,3.9,1.6,1.3,0.3,1.6,10.3,10
102,Omer Asik (HOU),82,30,4,7.5,54.10%,0,0,0.00%,2,3.6,56.20%,3.4,8.3,11.7,0.9,0.6,1.1,2.1,10.1,17.2
103,Michael Beasley (PHX),75,20.7,4.1,10.2,40.50%,0.6,1.9,31.30%,1.3,1.7,74.60%,0.7,3.1,3.8,1.5,0.4,0.5,1.9,10.1,7.8
104,Jason Terry (BOS),79,26.9,3.6,8.2,43.40%,1.6,4.2,37.20%,1.4,1.7,87.00%,0.2,1.8,2,2.5,0.8,0.1,1.3,10.1,9.5
105,Amir Johnson (TOR),81,28.7,4.1,7.5,55.40%,0.1,0.2,38.50%,1.7,2.3,72.70%,2.8,4.7,7.5,1.5,1,1.4,1.4,10,16
