Rank,Player,GP,MIN,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
135,Wayne Ellington (CLE),78,21.3,2.9,6.8,42.70%,1.2,3.1,39.20%,0.9,1,90.70%,0.3,1.8,2.1,1.3,0.6,0,0.7,7.9,7.2
136,Courtney Lee (BOS),78,24.9,3.2,6.8,46.40%,0.7,2,37.20%,0.8,0.9,86.10%,0.4,2,2.4,1.8,1.1,0.3,1.1,7.8,8.7
137,E'Twaun Moore (ORL),75,22.4,3.2,8,39.60%,0.9,2.6,34.00%,0.6,0.8,79.70%,0.6,1.6,2.2,2.7,0.7,0.3,1.4,7.8,7.4
138,Andrew Nicholson (ORL),75,16.7,3.4,6.5,52.70%,0,0,0.00%,1,1.3,79.80%,0.9,2.5,3.4,0.6,0.3,0.4,1.1,7.8,8.2
139,Marcus Morris (PHX),77,19.8,2.9,6.8,42.20%,1.1,3,36.90%,0.9,1.5,56.40%,1,2.6,3.6,0.8,0.6,0.3,1,7.7,7.4
140,Ed Davis (MEM),81,20.1,3.2,6,53.90%,0,0,0.00%,1.3,2.1,61.70%,1.9,3.8,5.7,0.8,0.5,1.1,0.8,7.7,11.4
141,Thabo Sefolosha (OKC),81,27.5,2.8,5.8,48.10%,1.3,3.2,41.90%,0.7,0.9,82.60%,0.7,3.2,3.9,1.5,1.3,0.5,0.8,7.6,10.9
142,Toney Douglas (SAC),71,18.1,2.6,6.6,40.30%,1.2,3,38.00%,1.1,1.2,90.50%,0.5,1.5,1.9,2.1,1,0,1.1,7.5,7.5
143,Al-Farouq Aminu (NOH),76,27.2,3,6.2,47.50%,0.1,0.3,21.10%,1.3,1.8,73.70%,1.8,5.9,7.7,1.4,1.2,0.7,1.5,7.3,13
144,Marvin Williams (UTA),73,23.7,2.7,6.4,42.30%,0.7,2.3,32.50%,1.1,1.4,77.80%,0.8,2.8,3.6,1.1,0.5,0.5,0.8,7.2,8.1
145,Enes Kanter (UTA),70,15.4,2.9,5.4,54.40%,0,0,100.00%,1.3,1.7,79.50%,1.9,2.4,4.3,0.4,0.4,0.5,1.4,7.2,8.6
146,Elton Brand (DAL),72,21.2,3.1,6.6,47.30%,0,0,0.00%,0.9,1.3,71.00%,1.8,4.2,6,1,0.7,1.3,0.8,7.2,11.4
147,Brian Roberts (NOH),78,17,2.7,6.6,41.70%,0.8,2,38.60%,0.9,1,90.90%,0.2,1,1.2,2.8,0.5,0,0.9,7.1,6.9
148,Tyler Hansbrough (IND),81,16.9,2.2,5,43.20%,0,0,0.00%,2.7,3.7,72.00%,2,2.6,4.6,0.4,0.4,0.2,1,7,7.8
149,Jason Maxiell (DET),72,24.8,2.8,6.3,44.60%,0,0,0.00%,1.3,2,62.10%,1.9,3.8,5.7,0.8,0.4,1.3,1.1,6.9,9.7
150,CJ Watson (BKN),80,19,2.4,5.7,41.80%,1.1,2.7,41.10%,0.9,1.1,78.00%,0.5,1.3,1.8,2,0.8,0.1,0.9,6.8,7.1
151,Steve Novak (NYK),81,20.3,2.2,5.3,41.40%,1.8,4.3,42.50%,0.4,0.4,90.90%,0.2,1.7,1.9,0.4,0.3,0.1,0.1,6.6,6.1
152,Shane Battier (MIA),72,24.8,2.1,5,42.00%,1.9,4.4,43.00%,0.4,0.5,84.20%,0.5,1.8,2.3,1,0.6,0.8,0.5,6.6,7.7
153,PJ Tucker (PHX),79,24.2,2.7,5.6,47.30%,0.3,0.9,31.40%,0.8,1.1,74.40%,1.7,2.8,4.4,1.4,0.8,0.2,0.8,6.4,9.2
154,Terrence Ross (TOR),73,17,2.5,6.3,40.70%,0.9,2.7,33.20%,0.4,0.6,71.40%,0.5,1.5,2,0.7,0.6,0.2,0.7,6.4,5.3
155,Willie Green (LAC),72,16.5,2.5,5.4,46.10%,1,2.3,42.80%,0.3,0.4,71.90%,0.2,1.1,1.3,0.8,0.4,0.2,0.4,6.3,5.5
156,Jeff Taylor (CHA),77,19.6,2.2,5.2,43.10%,0.7,2,34.40%,1,1.3,72.80%,0.7,1.3,1.9,0.8,0.6,0.2,0.6,6.1,5.8
157,Jason Kidd (NYK),76,26.9,2,5.4,37.20%,1.5,4.3,35.10%,0.5,0.6,83.30%,0.7,3.6,4.3,3.3,1.6,0.3,1,6,11
158,Greg Smith (HOU),70,15.9,2.4,3.9,62.00%,0,0,0.00%,1.2,1.9,62.30%,1.6,3,4.6,0.4,0.3,0.6,0.6,6,9
159,Boris Diaw (SAS),75,22.8,2.4,4.4,53.90%,0.4,1,38.50%,0.6,0.9,72.30%,0.9,2.5,3.4,2.4,0.7,0.4,1.1,5.8,9.2
160,Lavoy Allen (PHI),79,21.1,2.6,5.7,45.40%,0,0,0.00%,0.5,0.8,71.70%,2,3,5,0.9,0.3,0.7,0.7,5.8,8.6
161,Norris Cole (MIA),80,19.9,2.2,5.3,42.10%,0.4,1.2,35.70%,0.7,1,65.00%,0.2,1.4,1.6,2,0.7,0.1,1.3,5.6,5.3
162,MarShon Brooks (BKN),73,12.5,2.1,4.6,46.30%,0.2,0.8,27.30%,0.9,1.3,73.40%,0.4,1,1.4,1,0.5,0.2,0.9,5.4,4.8
163,Reggie Jackson (OKC),70,14.2,2.1,4.6,45.80%,0.3,1.5,23.10%,0.7,0.9,83.90%,0.3,2.1,2.4,1.7,0.4,0.2,0.8,5.3,6.6
164,Nick Collison (OKC),81,19.5,2.2,3.7,59.50%,0,0,0.00%,0.7,1,76.90%,1.5,2.6,4.1,1.5,0.6,0.4,0.8,5.1,9.1
